priority,category,target,site_url,why_fit,initial_angle
1,editorial,Qwoted,https://www.qwoted.com/,"Expert-source platform for journalist quotes","International SEO commentary for US companies expanding abroad"
1,editorial,Featured,https://featured.com/,"Expert-source platform for quotes and roundups","Hreflang, localization, and market-priority insights"
1,editorial,SourceBottle,https://www.sourcebottle.com/,"Journalist request platform with marketing opportunities","Cross-border SEO and localization expertise"
1,editorial,Search Engine Journal,https://www.searchenginejournal.com/,"High-authority SEO publication with expert commentary","Failure patterns in international SEO for US companies"
1,editorial,Search Engine Land,https://searchengineland.com/,"Core search publication with tactical and strategic pieces","Market expansion mistakes that are not solved by hreflang alone"
1,editorial,Moz Blog,https://moz.com/blog,"Trusted SEO education site for frameworks and commentary","International SEO diagnostic framework"
1,editorial,Ahrefs Blog,https://ahrefs.com/blog/,"Technical and strategic SEO readership","How authority inputs change international SEO outcomes"
1,editorial,Semrush Blog,https://www.semrush.com/blog/,"Broad SEO and growth audience with strong syndication","US-to-global market expansion checklist"
1,editorial,Search Engine Roundtable,https://www.seroundtable.com/,"Daily industry visibility and expert reaction format","Sharp commentary on international search and AI surfaces"
1,editorial,Majestic Blog,https://blog.majestic.com/,"Link intelligence audience cares about authority mechanics","How off-page trust works in new markets"
1,editorial,SE Ranking Blog,https://seranking.com/blog/,"SEO education audience; approachable guest/expert fit","International SEO execution frameworks"
1,editorial,Sitebulb Resources,https://sitebulb.com/resources/,"Technical SEO readership with audit mindset","Technical QA for multi-market rollouts"
1,editorial,Screaming Frog Blog,https://www.screamingfrog.co.uk/blog/,"Advanced technical SEO audience","Hreflang QA and crawl-based governance"
1,editorial,Content Marketing Institute,https://contentmarketinginstitute.com/articles/,"Strong audience overlap with localization and content teams","Localization versus translation in international growth"
1,editorial,CXL Blog,https://cxl.com/blog/,"Conversion-focused audience for commercial SEO angles","Why international SEO should be measured by pipeline not traffic"
1,editorial,HubSpot Marketing Blog,https://blog.hubspot.com/marketing,"Large growth and SaaS audience","What US teams get wrong when entering new markets"
2,editorial,Siege Media,https://www.siegemedia.com/insights,"Content and digital PR audience with GEO overlap","Authority-building assets for international SEO"
2,editorial,Animalz,https://www.animalz.co/blog/,"B2B SaaS growth audience; strong strategic fit","Localization and search governance for SaaS expansion"
2,editorial,Omniscient Digital,https://beomniscient.com/blog/,"SEO and growth audience with podcast cross-over","International SEO for US-led SaaS teams"
2,editorial,Flying Cat Marketing,https://www.flyingcatmarketing.com/podcast,"B2B SaaS SEO audience and podcast channel","How AI search changes international content operations"
2,editorial,Backlinko,https://backlinko.com/blog,"Large SEO audience; difficult but high-authority target","Opinionated international SEO playbook"
2,editorial,Growth Memo,https://www.growthmemo.com/,"Operator-focused marketing newsletter","Market expansion heuristics and technical governance"
2,editorial,Women in Tech SEO,https://www.womenintechseo.com/blog/,"Advanced SEO community with event and content opportunities","Technical talk on international SEO governance"
1,podcast,Voices of Search,https://voicesofsearch.com/,"Established SEO podcast with searchable episode pages","International SEO for US companies expanding abroad"
1,podcast,Search With Candour,https://www.searchwithcandour.co.uk/podcast/,"Search podcast with technical and strategic audience","Why market-selection mistakes show up as SEO problems"
1,podcast,Crawling Mondays,https://www.crawlingmondays.com/,"Technical SEO podcast with global audience","Hreflang, canonical logic, and multi-market QA"
1,podcast,The SEO Mindset,https://theseomindset.co.uk/podcast/,"SEO practitioners and consultants audience","Building a specialist international SEO position"
1,podcast,Experts on the Wire,https://www.expertsonthewire.com/,"Long-form advanced SEO interviews","International SEO systems that survive implementation"
1,podcast,Authority Hacker Podcast,https://www.authorityhacker.com/podcast/,"SEO authority audience open to tactical discussions","Authority building for new markets"
1,podcast,Rankable,https://rankable.fm/,"Search marketing audience and guest-friendly format","International SEO without fake-local signals"
2,podcast,Edge of the Web,https://edgeofthewebradio.com/,"Marketing and search audience with broad reach","The business logic behind cross-border SEO"
2,podcast,Marketing School,https://marketingschool.io/,"Business-owner audience with simple tactical framing","What US founders misunderstand about international SEO"
2,podcast,SEO 101,https://www.seo101radio.com/,"Long-running SEO podcast","International SEO basics that still break enterprise sites"
2,podcast,Search Off the Record,https://developers.google.com/search/podcasts/search-off-the-record,"Official Google Search podcast with technical audience","Potential commentary angle via public reaction and references"
2,podcast,The Search Session,https://www.thesearchsession.com/,"Niche search podcast already covering international SEO themes","Systems view of international SEO in the AI era"
2,podcast,Localization Fireside Chat,https://robinayoub.blog/,"Localization audience aligned to market expansion","Localization versus translation for SEO and conversion"
2,podcast,International Expansion Podcast,https://www.weglot.com/next-market-live-podcast,"Audience focused on cross-border market entry","SEO and localization governance for expansion teams"
2,podcast,The Global Marketing Show,https://www.rapporttranslations.com/,"Global expansion and localization audience","Why localization and international SEO should not be siloed"
1,directory,Clutch,https://clutch.co/,"High-intent B2B services marketplace with buyer usage","Profile focused on international SEO and technical SEO"
1,directory,UpCity,https://upcity.com/,"Marketing-focused directory with trust signal value","Specialization-first profile with proof assets"
1,directory,GoodFirms,https://www.goodfirms.co/,"Research-led directory with SEO categories","Proof-led profile and clean service taxonomy"
1,directory,DesignRush,https://www.designrush.com/,"Visible directory with marketing categories","International SEO consultant positioning"
2,directory,Sortlist,https://www.sortlist.com/,"Service matching platform useful for discovery","Remote-first cross-border SEO positioning"
2,directory,The Manifest,https://themanifest.com/,"Clutch-owned marketplace with category visibility","Case-study-driven consultant profile"
2,directory,Agency Spotter,https://www.agencyspotter.com/,"Agency discovery platform with specialization filters","Differentiate on proof-first international SEO"
2,directory,Semrush Agency Partners,https://www.semrush.com/agencies/,"Ecosystem directory aligned to SEO buyers","International SEO and technical SEO capability signal"
2,directory,FindBestFirms,https://findbestfirms.com/,"Supplementary directory for trust and profile breadth","Secondary validation layer"
2,directory,Google Business Profile,https://www.google.com/business/,"Truthful brand trust layer and entity corroboration","Use remote/global wording only"
1,partner,Weglot,https://www.weglot.com/,"Localization and website translation audience overlaps strongly","Co-create content around market rollout and localization traps"
1,partner,Smartling,https://www.smartling.com/,"Enterprise localization audience with global growth focus","Pitch SEO plus localization governance angle"
1,partner,Lokalise,https://lokalise.com/,"Product localization audience with SaaS fit","International SEO frameworks for launch teams"
1,partner,Phrase,https://phrase.com/,"Localization platform with market-expansion audience","Content parity and localization governance resource"
2,partner,Unbabel,https://unbabel.com/,"Language operations audience and enterprise buyer overlap","Thought leadership on translation versus localization"
2,partner,MotionPoint,https://www.motionpoint.com/,"Website localization and multilingual SEO overlap","Hreflang and market architecture collaboration angle"
2,partner,Translated,https://translated.com/,"Localization provider with international content audience","Joint thought leadership on global search trust"
2,partner,GlobalSaké,https://www.globalsakegrowth.com/,"Global growth community with leadership audience","Workshop or commentary on SEO for market expansion"
